"row_id","derivation_id","target_path","target_locator","target_field","target_value","purpose","artifact_or_object_refs","file_origin_class","support_ref_type","support_ref_id","support_locator_or_decision","parent_derivation_id","claim_ref","claim_provenance_class","support_level","transformation_type","transformation_or_tension","d_refs","rl_refs","r_refs","f_refs","a_refs","m_level_refs","effect_on_M6","limits","source_verification_status","decision_approval_status","approval_refs","materialization_status","materialization_refs","reviewed_at_utc"
"ROW-DL-ART-001-01","DL-ART-001","artifacts/01_PF-FAT-1.0.0.md","@document","artifact_id","""PF-FAT-1.0.0""","Materializar uno de los siete artefactos canónicos.","PF-FAT-1.0.0","generated_for_doctoral_instance","evidence_unit","EV-THESIS-FACTOR","SOURCES.json#EV-THESIS-FACTOR","","","explicit_source","direct","metadata_transcription","El identificador 1.0.0 procede de la tesis; la materialización verificable es nueva.","D1|D2|D3","RL1|RL2|RL7","R1","F2|F6","A3|A4","M1","Especifica el factor y su estado.","No se presenta como archivo histórico recuperado.","verified","approved","T03-AV-002","materialized_t03","artifacts/01_PF-FAT-1.0.0.md","2026-09-04T01:23:08Z"
"ROW-DL-ART-001-02","DL-ART-001","artifacts/01_PF-FAT-1.0.0.md","@document","artifact_id","""PF-FAT-1.0.0""","Materializar uno de los siete artefactos canónicos.","PF-FAT-1.0.0","generated_for_doctoral_instance","approved_decision","T03-AV-002","PROVENANCE.json#decisions/T03-AV-002","","","explicit_source","direct","metadata_transcription","El identificador 1.0.0 procede de la tesis; la materialización verificable es nueva.","D1|D2|D3","RL1|RL2|RL7","R1","F2|F6","A3|A4","M1","Especifica el factor y su estado.","No se presenta como archivo histórico recuperado.","not_applicable","approved","T03-AV-002","materialized_t03","artifacts/01_PF-FAT-1.0.0.md","2026-09-04T01:23:08Z"
"ROW-DL-ART-002-01","DL-ART-002","artifacts/02_PA-INFRA6-1.0.0.md","@document","artifact_id","""PA-INFRA6-1.0.0""","Materializar uno de los siete artefactos canónicos.","PA-INFRA6-1.0.0","generated_for_doctoral_instance","evidence_unit","EV-THESIS-FACTOR","SOURCES.json#EV-THESIS-FACTOR","","","explicit_source","direct","metadata_transcription","El identificador 1.0.0 procede de la tesis; la materialización verificable es nueva.","D4|D6","RL4|RL7","R2","F2|F6","A3|A4","M2","Caracteriza el anfitrión y su frontera.","No se presenta como archivo histórico recuperado.","verified","approved","T03-AV-002","materialized_t03","artifacts/02_PA-INFRA6-1.0.0.md","2026-09-04T01:23:08Z"
"ROW-DL-ART-002-02","DL-ART-002","artifacts/02_PA-INFRA6-1.0.0.md","@document","artifact_id","""PA-INFRA6-1.0.0""","Materializar uno de los siete artefactos canónicos.","PA-INFRA6-1.0.0","generated_for_doctoral_instance","approved_decision","T03-AV-002","PROVENANCE.json#decisions/T03-AV-002","","","explicit_source","direct","metadata_transcription","El identificador 1.0.0 procede de la tesis; la materialización verificable es nueva.","D4|D6","RL4|RL7","R2","F2|F6","A3|A4","M2","Caracteriza el anfitrión y su frontera.","No se presenta como archivo histórico recuperado.","not_applicable","approved","T03-AV-002","materialized_t03","artifacts/02_PA-INFRA6-1.0.0.md","2026-09-04T01:23:08Z"
"ROW-DL-ART-003-01","DL-ART-003","artifacts/03_MFV-FAT-COP-1.0.0.md","@document","artifact_id","""MFV-FAT-COP-1.0.0""","Materializar uno de los siete artefactos canónicos.","MFV-FAT-COP-1.0.0","generated_for_doctoral_instance","evidence_unit","EV-THESIS-FACTOR","SOURCES.json#EV-THESIS-FACTOR","","","explicit_source","direct","metadata_transcription","El identificador 1.0.0 procede de la tesis; la materialización verificable es nueva.","D4","RL3|RL7","R3","F2|F6","A3|A4","M3","Autoriza coping y protege cinco variables.","No se presenta como archivo histórico recuperado.","verified","approved","T03-AV-002","materialized_t03","artifacts/03_MFV-FAT-COP-1.0.0.md","2026-09-04T01:23:08Z"
"ROW-DL-ART-003-02","DL-ART-003","artifacts/03_MFV-FAT-COP-1.0.0.md","@document","artifact_id","""MFV-FAT-COP-1.0.0""","Materializar uno de los siete artefactos canónicos.","MFV-FAT-COP-1.0.0","generated_for_doctoral_instance","approved_decision","T03-AV-002","PROVENANCE.json#decisions/T03-AV-002","","","explicit_source","direct","metadata_transcription","El identificador 1.0.0 procede de la tesis; la materialización verificable es nueva.","D4","RL3|RL7","R3","F2|F6","A3|A4","M3","Autoriza coping y protege cinco variables.","No se presenta como archivo histórico recuperado.","not_applicable","approved","T03-AV-002","materialized_t03","artifacts/03_MFV-FAT-COP-1.0.0.md","2026-09-04T01:23:08Z"
"ROW-DL-ART-004-01","DL-ART-004","artifacts/04_MI-FAT-COP-1.0.0.md","@document","artifact_id","""MI-FAT-COP-1.0.0""","Materializar uno de los siete artefactos canónicos.","MI-FAT-COP-1.0.0","generated_for_doctoral_instance","evidence_unit","EV-THESIS-FACTOR","SOURCES.json#EV-THESIS-FACTOR","","","explicit_source","direct","metadata_transcription","El identificador 1.0.0 procede de la tesis; la materialización verificable es nueva.","D5","RL5|RL7","R4","F2|F6","A3|A4","M3","Declara la transformación acotada.","No se presenta como archivo histórico recuperado.","verified","approved","T03-AV-002","materialized_t03","artifacts/04_MI-FAT-COP-1.0.0.md","2026-09-04T01:23:08Z"
"ROW-DL-ART-004-02","DL-ART-004","artifacts/04_MI-FAT-COP-1.0.0.md","@document","artifact_id","""MI-FAT-COP-1.0.0""","Materializar uno de los siete artefactos canónicos.","MI-FAT-COP-1.0.0","generated_for_doctoral_instance","approved_decision","T03-AV-002","PROVENANCE.json#decisions/T03-AV-002","","","explicit_source","direct","metadata_transcription","El identificador 1.0.0 procede de la tesis; la materialización verificable es nueva.","D5","RL5|RL7","R4","F2|F6","A3|A4","M3","Declara la transformación acotada.","No se presenta como archivo histórico recuperado.","not_applicable","approved","T03-AV-002","materialized_t03","artifacts/04_MI-FAT-COP-1.0.0.md","2026-09-04T01:23:08Z"
"ROW-DL-ART-005-01","DL-ART-005","artifacts/05_MOD-FAT-COP-1.0.0_IF-GA-EF-1.0.0.md","@document","artifact_id","""MOD-FAT-COP-1.0.0|IF-GA-EF-1.0.0""","Materializar uno de los siete artefactos canónicos.","MOD-FAT-COP-1.0.0|IF-GA-EF-1.0.0","generated_for_doctoral_instance","evidence_unit","EV-THESIS-FACTOR","SOURCES.json#EV-THESIS-FACTOR","","","explicit_source","direct","metadata_transcription","El identificador 1.0.0 procede de la tesis; la materialización verificable es nueva.","D6|D7","RL4|RL5|RL6|RL7","R4|R5","F2|F6","A3|A4","M3|M4","Separa realización e interfaz en un archivo físico.","No se presenta como archivo histórico recuperado.","verified","approved","T03-AV-002","materialized_t03","artifacts/05_MOD-FAT-COP-1.0.0_IF-GA-EF-1.0.0.md","2026-09-04T01:23:08Z"
"ROW-DL-ART-005-02","DL-ART-005","artifacts/05_MOD-FAT-COP-1.0.0_IF-GA-EF-1.0.0.md","@document","artifact_id","""MOD-FAT-COP-1.0.0|IF-GA-EF-1.0.0""","Materializar uno de los siete artefactos canónicos.","MOD-FAT-COP-1.0.0|IF-GA-EF-1.0.0","generated_for_doctoral_instance","approved_decision","T03-AV-002","PROVENANCE.json#decisions/T03-AV-002","","","explicit_source","direct","metadata_transcription","El identificador 1.0.0 procede de la tesis; la materialización verificable es nueva.","D6|D7","RL4|RL5|RL6|RL7","R4|R5","F2|F6","A3|A4","M3|M4","Separa realización e interfaz en un archivo físico.","No se presenta como archivo histórico recuperado.","not_applicable","approved","T03-AV-002","materialized_t03","artifacts/05_MOD-FAT-COP-1.0.0_IF-GA-EF-1.0.0.md","2026-09-04T01:23:08Z"
