"scenario_id","disposition","diagnostics","oracle_match","result_path","trace_or_rejection_path"
"S00","applied_no_change","","true","results/reference_run/S00.result.json","traces/reference_run/S00.trace.json"
"S01","modulated","","true","results/reference_run/S01.result.json","traces/reference_run/S01.trace.json"
"S02","modulated","","true","results/reference_run/S02.result.json","traces/reference_run/S02.trace.json"
"S03","modulated","","true","results/reference_run/S03.result.json","traces/reference_run/S03.trace.json"
"S04","modulated","","true","results/reference_run/S04.result.json","traces/reference_run/S04.trace.json"
"S05","applied_no_change","","true","results/reference_run/S05.result.json","traces/reference_run/S05.trace.json"
"S06","applied_no_change","","true","results/reference_run/S06.result.json","traces/reference_run/S06.trace.json"
"S07","abstained","FACTOR_STATE_MISSING","true","results/reference_run/S07.result.json","traces/reference_run/S07.trace.json"
"S08","abstained","FACTOR_STATE_STALE","true","results/reference_run/S08.result.json","traces/reference_run/S08.trace.json"
"S09","abstained","FACTOR_LEVEL_OUT_OF_RANGE","true","results/reference_run/S09.result.json","traces/reference_run/S09.trace.json"
"S10","abstained","FACTOR_LEVEL_OUT_OF_RANGE","true","results/reference_run/S10.result.json","traces/reference_run/S10.trace.json"
"S11","abstained","FACTOR_CONFIDENCE_BELOW_MIN","true","results/reference_run/S11.result.json","traces/reference_run/S11.trace.json"
"S12","abstained","FACTOR_STATE_FROM_FUTURE","true","results/reference_run/S12.result.json","traces/reference_run/S12.trace.json"
"S13","abstained","FACTOR_STATE_STALE","true","results/reference_run/S13.result.json","traces/reference_run/S13.trace.json"
"S14","modulated","","true","results/reference_run/S14.result.json","traces/reference_run/S14.trace.json"
"S15","rejected","HOST_BASELINE_OUT_OF_RANGE","true","results/reference_run/S15.result.json","traces/reference_run/rejections/S15.rejection.json"
